"SILVEIRA & BARBOSA LTDA ME             ","RUA DOUTOR MARIO NEGOCIO,186                     "
"AKAHANGA COMERCIO LTDA ME              ","RUA FELIPE CAMARAO,1607                          "
"PRISMA CONFECCOES LTDA ME              ","PRACA RODOLFO FERNANDES,168                      "
"COMERCIAL DE MODAS PRISMA LTDA         ","PRACA RODOLFO FERNANDES,168                      "
"MARIA JACILENE DA SILVA ME             ","RUA ANTONIO FILGUEIRA,40                         "
"SUELY GOMES DE MEDEIROS ME             ","RUA DOM ELDER CAMARA,100                         "
"T E T EMPREENDIMENTOS LTDA             ","RUA CHICO LINHARES,50                            "
"T E T EMPREENDIMENTOS LTDA EPP         ","AV ALBERTO MARANHAO,1611                         "
"ILAP CALCADOS E ACESSORIOS LTDA-ME     ","RUA CORONEL GURGEL,168                           "
"CASA JUNIOR ELETROMOVEIS LTDA - EPP    ","R MACHADO AGUIAR,44                              "
"WILLY VARELA DA ROCHA - ME             ","AVENIDA ALBERTO MARANHAO,948                     "
"BIS MOTO E ACESSORIOS LTDA ME          ","AV RIO BRANCO,872                                "
"R OLIMPO DE MENDES - EPP               ","PRACA RODOLFO FERNANDES,113                      "
"LUCAS PIRES PRODUTOS QUIMICOS LTDA EPP ","RUA PEDRO VELHO,151                              "
"A M DA SILVA COMBUSTIVEIS EPP          ","AVENIDA CUNHA DA MOTA,177                        "
"FRANCISCO SUELDO PINHEIRO FILHO ME     ","RUA CORONEL GURGEL,23                            "
"D F DE QUEIROZ - ME                    ","RUA LUCAS EVANGELISTA DE MORAIS,700              "
"CRIATIVA DESIGN COMERCIO LTDA          ","AV RIO BRANCO,1952                               "
"ANTONIO SIZIMAR DE FREITAS             ","RUA FREI MIGUELINHO,S/N                          "
"TEBE EMPREENDIMENTOS TURISTICOS LTDA - ","AV BAIA DOS GOLFINHOS,530                        "
"J B T DE MOURA - ME                    ","ROD.RN 078,S/N                                   "
"FERNANDES & LEITE COMERCIO E SERVICOS L","RUA LOPES TROVAO,250                             "
"EMPREENDIMENTOS RIO GRANDE LTDA - EPP  ","R DONA ISAURA ROSADO ,109                        "
"RONIERE MACIEL MOREIRA - ME            ","RUA CORONEL GURGEL,557                           "
"P V L SANTOS                           ","AVENIDA CUNHA DA MOTA,868                        "
"G. GOMES ALVES - COMERCIAL OPTICO - ME ","RUA SANTOS DUMONT,171                            "
"G. GOMES ALVES - COMERCIAL OPTICO - ME ","RUA SANTOS DUMONT,86                             "
"G. GOMES ALVES - COMERCIAL OPTICO - ME ","RUA BEZERRA MENDES,53                            "
"G. GOMES ALVES - COMERCIAL OPTICO - ME ","RUA CORONEL GURGEL,297                           "
"NC COMERCIO DE MATERIAIS ELETRICOS LTDA","R CORONEL GURGEL,635                             "
"MARIA DAS GRACAS MARCELINO DE ARAUJO BE","RUA BELA VISTA,940                               "
"S R M DA SILVA SANTOS                  ","RUA ALFREDO FERNANDES,259                        "
"ADRIANA DE SOUZA ROCHA                 ","PC BENTO PRAXEDES ,46                            "
"G & C OTICO LTDA COMERCIO ME           ","RUA DOUTOR FRANCISCO RAMALHO,125                 "
"NOGUEIRA E BESSA ACESSORIO LTDA        ","AVENIDA AUGUSTO SEVERO,255                       "
"M M DERIVADOS DE PETROLEO LTDA         ","RUA DR SEBASTIAO MALTEZ,S/N                      "
"SAN LORENZO COMERCIO DE MODAS LTDA     ","RUA JOAO DA ESCOSSIA,1515                        "
"FUTURA LIVRARIA E PAPELARIA LTDA - ME  ","R DR ANTONIO DE SOUZA,52                         "
"MOURA & CAMPOS LTDA                    ","AV SENADOR JOAO CAMARA,178                       "
"MARIA DARLETE N GONCALVES              ","RUA BEZERRA MENDES,143                           "
"FRANCISCO RODRIGUES REBOUCAS - ME      ","RUA FELIPE CAMARAO,163                           "
"AUREA MARIA F DE OLIVEIRA ME           ","RUA FELIPE CAMARAO,1476                          "
"MARIA LUCINEIDE DIAS DE OLIVEIRA NOGUEI","PRACA RODOLFO FERNANDES,168                      "
"UNIVERSO DA CRIANCA COM DE MODA INFANTI","AVENIDA DIOCESANA,281                            "
"LIVRARIA EVANGELICA FONTE DE LUZ LTDA -","RUA MEIRA E SA,143                               "
"FRANCISCO DE ASSIS MEDEIROS DE MELO - M","RUA BEZERRA MENDES,45                            "
"ESTACAO ODONTO MEDICO LTDA - ME        ","AVENIDA PRESIDENTE DUTRA,460                     "
"MARIA DOS NAVEGANTES DE LIMA - EPP     ","RUA MARTINS FERREIRA,126                         "
"MARIA DOS NAVEGANTES DE LIMA           ","RUA MONSENHOR JOSE TIBURCIO,30                   "
